objectid,topoid,poigroup,poitype,poiname,poilabel,urbanity,lon,lat,sa2_code,sa2_name
53124,511751582,8,Suburb,MALABAR,MALABAR,U,151.24831141895018,-33.96643796424008,118021652,Malabar - La Perouse
53126,511751584,8,Suburb,LA PEROUSE,LA PEROUSE,S,151.23988840701114,-33.99381256034651,118021652,Malabar - La Perouse
53127,511751585,8,Suburb,PHILLIP BAY,PHILLIP BAY,S,151.2313248123234,-33.98124682597495,118021652,Malabar - La Perouse
53128,511751586,8,Suburb,CHIFLEY,CHIFLEY,U,151.23901825480954,-33.969707665456895,118021653,Matraville - Chifley
53129,511751587,8,Suburb,MATRAVILLE,MATRAVILLE,U,151.23174939116097,-33.96357776429793,118021653,Matraville - Chifley
53130,511751588,8,Urban Place,MALABAR JUNCTION,MALABAR JUNCTION,U,151.24423140118546,-33.96378302184504,118021653,Matraville - Chifley
53811,511790003,7,Headland,BUCHAN POINT,BUCHAN POINT,S,151.25519231370225,-33.97768218303809,118021652,Malabar - La Perouse
64623,512281107,1,Cemetery,COAST HOSPITAL CEMETERY,COAST HOSPITAL CEMETERY,S,151.24971749077895,-33.99085583613946,118021652,Malabar - La Perouse
106772,515400308,3,Park,THE COAST HOSPITAL MEMORIAL PARK,THE COAST HOSPITAL MEMORIAL PARK,U,151.24799150372468,-33.980795310926645,118021652,Malabar - La Perouse
106773,515400326,3,Park,BOB-A-DAY PARK,BOB-A-DAY PARK,S,151.24636157442205,-33.98331861686527,118021652,Malabar - La Perouse
106774,515400333,3,Park,TIMBERY,TIMBERY,S,151.23034208235205,-33.98788515496278,118021652,Malabar - La Perouse
107684,515614199,3,Park,BARWON PARK,BARWON PARK,U,151.23595758504206,-33.959972532581595,118021653,Matraville - Chifley
109226,515790126,1,Nursing Home,DOROTHY BOYT HOUSE,DOROTHY BOYT HOUSE,U,151.2490486977449,-33.96644145098624,118021652,Malabar - La Perouse
109374,515791363,1,Nursing Home,CATHOLIC HEALTHCARE ST JAMES VILLA,CATHOLIC HEALTHCARE ST JAMES VILLA,U,151.24431611950325,-33.963024319033025,118021653,Matraville - Chifley
109472,515792666,1,Retirement Village,MIRRABOOKA VILLAGE,MIRRABOOKA VILLAGE,U,151.24357833046545,-33.979578073810416,118021652,Malabar - La Perouse
113560,516779683,1,SES Facility,LIFE SAVER RESCUE HELICOPTER,LIFE SAVER RESCUE HELICOPTER,S,151.24932913560693,-33.99366413446957,118021652,Malabar - La Perouse
113591,516841355,1,Psychiatric Hospital,JUSTICE HEALTH SERVICES,JUSTICE HEALTH SERVICES,U,151.24265876912654,-33.97009526782209,118021652,Malabar - La Perouse
115588,517014252,2,Primary School,MALABAR PUBLIC SCHOOL,MALABAR PUBLIC SCHOOL,S,151.24839750899542,-33.96184870202429,118021652,Malabar - La Perouse
115815,517014489,2,Primary School,ST ANDREW'S CATHOLIC PRIMARY SCHOOL,ST ANDREW'S CATHOLIC PRIMARY SCHOOL,U,151.24750593377092,-33.964159849460124,118021652,Malabar - La Perouse
115827,517014501,2,Primary School,LA PEROUSE PUBLIC SCHOOL,LA PEROUSE PUBLIC SCHOOL,S,151.2352275583466,-33.97902314077532,118021652,Malabar - La Perouse
115841,517014515,2,Primary School,CHIFLEY PUBLIC SCHOOL,CHIFLEY PUBLIC SCHOOL,U,151.2421926333256,-33.96601230968924,118021653,Matraville - Chifley
115928,517014605,2,High School,MATRAVILLE SPORTS HIGH SCHOOL,MATRAVILLE SPORTS HIGH SCHOOL,U,151.24507166643755,-33.96453768122041,118021653,Matraville - Chifley
119414,517204517,1,Retirement Village,LITTLE BAY APARTMENTS,LITTLE BAY APARTMENTS,U,151.247556114561,-33.980008103115594,118021652,Malabar - La Perouse
120694,517210949,1,Nursing Home,MARK MORAN AT LITTLE BAY,MARK MORAN AT LITTLE BAY,U,151.24491807788021,-33.981162197673626,118021652,Malabar - La Perouse
122223,517234693,1,Library,MALABAR COMMUNITY LIBRARY,MALABAR COMMUNITY LIBRARY,U,151.2460059466724,-33.96223843831731,118021653,Matraville - Chifley
123099,517268797,4,Boat Ramp,,Boat Ramp,S,151.2288487814142,-33.9802064760234,118021652,Malabar - La Perouse
128923,517417586,1,Community Medical Centre,MALABAR ABORIGINAL EARLY CHILDHOOD HEALTH CENTRE,MALABAR ABORIGINAL EARLY CHILDHOOD HEALTH CENTRE,U,151.2472156890009,-33.96310487873128,118021652,Malabar - La Perouse
130349,517464179,3,Club,MALABAR RSL S/B CLUB,MALABAR RSL S/B CLUB,U,151.24896829044218,-33.96382809241498,118021652,Malabar - La Perouse
130360,517464304,3,Club,MATRAVILLE RSL SUB BRANCH CLUB,MATRAVILLE RSL SUB BRANCH CLUB,U,151.23215287755565,-33.959936039659816,118021653,Matraville - Chifley
130602,517467607,3,Club,YARRA BAY 16' SKIFF SAILING CLUB,YARRA BAY 16' SKIFF SAILING CLUB,S,151.2295167506932,-33.98056355562568,118021652,Malabar - La Perouse
131757,517508294,3,Park,BURRIBURRI PARK,BURRIBURRI PARK,U,151.24658994054033,-33.976762568288535,118021652,Malabar - La Perouse
132374,517571648,1,Community Medical Centre,LA PEROUSE ABORIGINAL COMMUNITY HEALTH CENTRE,LA PEROUSE ABORIGINAL COMMUNITY HEALTH CENTRE,S,151.23096348296664,-33.98158034006842,118021652,Malabar - La Perouse
133963,517590523,3,Sports Field,CHIFLEY SPORTS RESERVE,CHIFLEY SPORTS RESERVE,S,151.23787834212132,-33.97325340310645,118021653,Matraville - Chifley
133976,517590558,3,Park,BOULEVARDE RESERVE,BOULEVARDE RESERVE,U,151.25002158487573,-33.966956190004275,118021652,Malabar - La Perouse
133977,517590573,3,Park,KOOLOORA RESERVE,KOOLOORA RESERVE,U,151.24724300227714,-33.97469939174083,118021652,Malabar - La Perouse
133978,517590574,3,Park,LUCAS RESERVE,LUCAS RESERVE,U,151.2500928311592,-33.9710723599574,118021652,Malabar - La Perouse
133995,517590603,3,Park,BLAXLAND RESERVE,BLAXLAND RESERVE,U,151.24090365779242,-33.961365803460005,118021653,Matraville - Chifley
133996,517590604,3,Park,HURLEY RESERVE,HURLEY RESERVE,U,151.2426029774592,-33.95985231629344,118021653,Matraville - Chifley
133997,517590609,3,Park,WASSELL STREET RESERVE,WASSELL STREET RESERVE,U,151.23741772736614,-33.964661625807025,118021653,Matraville - Chifley
134008,517590654,3,Sports Field,,BASEBALL FIELD,S,151.248549314397,-33.96007326989284,118021652,Malabar - La Perouse
134009,517590656,3,Sports Field,,FOOTBALL FIELD,S,151.24807424125734,-33.96061543816644,118021652,Malabar - La Perouse
134015,517590685,1,Community Facility,MALABAR MEMORIAL HALL,MALABAR MEMORIAL HALL,U,151.2459274222385,-33.96231933776543,118021653,Matraville - Chifley
134017,517590706,1,Community Facility,MATRAVILLE YOUTH AND CULTURAL HALL,MATRAVILLE YOUTH AND CULTURAL HALL,U,151.23721053453906,-33.95729722344352,118021653,Matraville - Chifley
140798,518309601,3,Historic Site,HAPPY VALLEY CAMP,HAPPY VALLEY CAMP,S,151.23526093165776,-33.988020977778646,118021652,Malabar - La Perouse
140800,518309603,3,Historic Site,,MILITARY FORTIFICATIONS,S,151.25041261163742,-33.99432217113823,118021652,Malabar - La Perouse
141617,518353077,1,Community Facility,PRINCE HENRY COMMUNITY CENTRE,PRINCE HENRY COMMUNITY CENTRE,S,151.24950099320228,-33.980538770315285,118021652,Malabar - La Perouse
141972,518309602,3,Ship Wreck,SS MINMI,SS MINMI,S,151.2478993716108,-34.0009940974683,118021652,Malabar - La Perouse
145302,517015833,2,Primary School,SACRED HEART PRIMARY SCHOOL MATRAVILLE,SACRED HEART PRIMARY SCHOOL MATRAVILLE,U,151.23179918567547,-33.95867210959782,118021653,Matraville - Chifley
145810,504380019,1,Community Facility,NPWS LA PEROUSE,NPWS LA PEROUSE,S,151.23952206685175,-33.98948064502803,118021652,Malabar - La Perouse
147310,500322708,3,Park,MCKENZIE AVENUE RESERVE,MCKENZIE AVENUE RESERVE,U,151.24357669912487,-33.97809475036784,118021653,Matraville - Chifley
147395,517590546,3,Park,FRENCHMANS BAY RESERVE,FRENCHMANS BAY RESERVE,S,151.2315047906889,-33.98520434261613,118021652,Malabar - La Perouse
147401,518400155,3,Park,BOTANY ROAD RESERVE,BOTANY ROAD RESERVE,S,151.2293005306959,-33.96670439146599,118021653,Matraville - Chifley
147403,518400157,3,Park,SOLANDER STREET RESERVE,SOLANDER STREET RESERVE,U,151.22749331168538,-33.95826630149211,118021653,Matraville - Chifley
147404,518400158,3,Park,YARRA ROAD RESERVE,YARRA ROAD RESERVE,U,151.23643167183158,-33.97911206343654,118021652,Malabar - La Perouse
147405,518400159,3,Park,LEICHHARDT STREET RESERVE,LEICHHARDT STREET RESERVE,S,151.23456387403155,-33.96857564956458,118021653,Matraville - Chifley
147406,518400160,3,Park,BUNNERONG ROAD ROADSIDE RESERVE,BUNNERONG ROAD ROADSIDE RESERVE,S,151.23708044860444,-33.977827919318436,118021652,Malabar - La Perouse
147407,518400161,3,Park,KNOWLES AVENUE DRAINAGE RESERVE,KNOWLES AVENUE DRAINAGE RESERVE,U,151.23684690998678,-33.95813387650042,118021653,Matraville - Chifley
147408,518400162,3,Park,ANZAC PARADE RESERVE 4,ANZAC PARADE RESERVE 4,U,151.2348895357799,-33.98509878300484,118021652,Malabar - La Perouse
147409,518400163,3,Park,ANZAC PARADE RESERVE 3,ANZAC PARADE RESERVE 3,U,151.2356071288935,-33.98363345910399,118021652,Malabar - La Perouse
147410,518400164,3,Park,ANZAC PARADE RESERVE 2,ANZAC PARADE RESERVE 2,U,151.23646438128767,-33.982450876973786,118021652,Malabar - La Perouse
147411,518400165,3,Park,ANZAC PARADE RESERVE 5,ANZAC PARADE RESERVE 5,S,151.23381068517483,-33.98707048165518,118021652,Malabar - La Perouse
147412,518400166,3,Park,GROSE STREET RESERVE,GROSE STREET RESERVE,U,151.23943158404478,-33.985067256471844,118021652,Malabar - La Perouse
147414,518400168,3,Park,ELAROO AVENUE RESERVE,ELAROO AVENUE RESERVE,U,151.23260341590833,-33.98308917535386,118021652,Malabar - La Perouse
147415,518400170,3,Park,ANZAC PARADE RESERVE 6,ANZAC PARADE RESERVE 6,S,151.23477664359987,-33.98615848632645,118021652,Malabar - La Perouse
147416,518400171,3,Park,PILLARS PLACE RESERVE,PILLARS PLACE RESERVE,U,151.23202219154643,-33.95765898315454,118021653,Matraville - Chifley
147417,518400172,3,Park,BUNNERONG ROAD RESERVE,BUNNERONG ROAD RESERVE,S,151.23562382048982,-33.97073652421592,118021653,Matraville - Chifley
147419,518400174,3,Park,GABEE RESERVE,GABEE RESERVE,U,151.24984340853072,-33.973472250133625,118021652,Malabar - La Perouse
147422,518400177,3,Park,CROMWELL PARK (SOUTH),CROMWELL PARK (SOUTH),U,151.25356606839057,-33.967300953393334,118021652,Malabar - La Perouse
147423,518400178,3,Park,JENNIFER ST RESERVE,JENNIFER ST RESERVE,S,151.24363910598603,-33.98321217892807,118021652,Malabar - La Perouse
147424,518400179,3,Park,HARVEY STREET RESERVE,HARVEY STREET RESERVE,U,151.24343533663856,-33.98214063379761,118021652,Malabar - La Perouse
147425,518400180,3,Park,ANZAC PARADE RESERVE 1,ANZAC PARADE RESERVE 1,U,151.24648819016468,-33.96390884879115,118021652,Malabar - La Perouse
147431,518400186,3,Park,JENNER ST RESERVE,JENNER ST RESERVE,U,151.24566508183617,-33.977718594597384,118021652,Malabar - La Perouse
147436,518400191,3,Park,,Park,U,151.2482316036372,-33.979427891138556,118021652,Malabar - La Perouse
147437,518400192,3,Park,BILGA CRESCENT RESERVE,BILGA CRESCENT RESERVE,U,151.25177257294263,-33.97552309175212,118021652,Malabar - La Perouse
147440,518400195,3,Park,JOHN MEWBURN RESERVE,JOHN MEWBURN RESERVE,U,151.24721247123557,-33.9673406549512,118021652,Malabar - La Perouse
147443,518400198,3,Park,GIBSON PLACE RESERVE,GIBSON PLACE RESERVE,U,151.24152280004245,-33.9679985929456,118021653,Matraville - Chifley
147721,518400469,1,Place Of Worship,OUR LADY OF GOOD COUNSEL CATHOLIC CHURCH,OUR LADY OF GOOD COUNSEL CATHOLIC CHURCH,U,151.23519745759805,-33.979735176475224,118021652,Malabar - La Perouse
148382,504403565,6,Rock Awash,BROWN ROCKS,BROWN ROCKS,S,151.23726960685386,-33.99378417112931,118021652,Malabar - La Perouse
148526,518402171,1,Gaol,SPECIAL PURPOSE CENTRE,SPECIAL PURPOSE CENTRE,U,151.24689722635125,-33.97259398601291,118021652,Malabar - La Perouse
153444,504772855,1,Place Of Worship,THE COAST CHAPEL,THE COAST CHAPEL,S,151.25013601946313,-33.98032397590779,118021652,Malabar - La Perouse
154013,518439431,3,Park,,Park,S,151.23076063708731,-33.97829347264181,118021652,Malabar - La Perouse
154014,518439432,3,Park,,Park,S,151.23047819059232,-33.97751202905739,118021652,Malabar - La Perouse
154016,518439434,3,Park,ABORIGINAL LAND,ABORIGINAL LAND,S,151.2419231944359,-33.98462429273555,118021652,Malabar - La Perouse
154017,518439436,3,Park,,Park,U,151.24217850641944,-33.971616365286884,118021653,Matraville - Chifley
