objectid,topoid,poigroup,poitype,poiname,poilabel,urbanity,lon,lat,sa2_code,sa2_name
27260,504395332,3,Park,BRONTE PARK,BRONTE PARK,U,151.26575146009813,-33.902535177865055,118011339,Bondi - Tamarama - Bronte
27261,504395337,3,Park,CALGA RESERVE,CALGA RESERVE,U,151.2693273172743,-33.907313409289095,118011339,Bondi - Tamarama - Bronte
27265,504395345,3,Park,BURNIE PARK,BURNIE PARK,U,151.26002600541398,-33.910239718469356,118021651,Coogee - Clovelly
27269,504395350,3,Park,MACPHERSON PARK,MACPHERSON PARK,U,151.25988563826093,-33.90601139982654,118011339,Bondi - Tamarama - Bronte
27270,504395351,3,Park,SIMPSON PARK,SIMPSON PARK,U,151.25777783936311,-33.905584974141014,118011341,Bondi Junction - Waverly
27272,504395357,3,Sports Field,,BOWLING GREENS,U,151.25846074223534,-33.89741185056451,118011341,Bondi Junction - Waverly
27273,504395358,3,Sports Field,,FOOTBALL FIELD,U,151.2585769959112,-33.89594121158263,118011341,Bondi Junction - Waverly
27274,504395359,3,Park,WAVERLEY PARK,WAVERLEY PARK,U,151.25766656954042,-33.89490782563114,118011341,Bondi Junction - Waverly
27275,504395360,3,Sports Field,WAVERLEY OVAL,WAVERLEY OVAL,U,151.25876683508355,-33.89440204183734,118011341,Bondi Junction - Waverly
27280,504395372,1,Place Of Worship,THE YESHIVA CENTRE,THE YESHIVA CENTRE,U,151.2594008839774,-33.891733080103535,118011339,Bondi - Tamarama - Bronte
27281,504395374,3,Park,DICKSON PARK,DICKSON PARK,U,151.26419988544782,-33.89092625927989,118011339,Bondi - Tamarama - Bronte
27282,504395375,2,Primary School,MONTESSORI EAST,MONTESSORI EAST,U,151.263900757238,-33.89316800683909,118011339,Bondi - Tamarama - Bronte
27283,504395376,1,Place Of Worship,ST PATRICK'S CATHOLIC CHURCH,ST PATRICK'S CATHOLIC CHURCH,U,151.26373392841163,-33.89374079619825,118011339,Bondi - Tamarama - Bronte
27289,504395394,1,Post Office,BONDI POST OFFICE,BONDI POST OFFICE,U,151.26267240541006,-33.893947021467724,118011339,Bondi - Tamarama - Bronte
27291,504395398,3,Park,GAERLOCH RESERVE,GAERLOCH RESERVE,U,151.27197677423732,-33.89922591809043,118011339,Bondi - Tamarama - Bronte
27298,504395409,2,Primary School,WAVERLEY COLLEGE WATERFORD CAMPUS,WAVERLEY COLLEGE WATERFORD CAMPUS,U,151.25736941313264,-33.90020857628482,118011341,Bondi Junction - Waverly
27299,504395410,1,Place Of Worship,ST MATTHEW'S ANGLICAN CHURCH,ST MATTHEW'S ANGLICAN CHURCH,U,151.2629585170314,-33.89260877974208,118011339,Bondi - Tamarama - Bronte
28019,504465719,1,Police Station,BONDI BEACH POLICE STATION,BONDI BEACH POLICE STATION,U,151.27386699937665,-33.89011800355613,118011340,Bondi Beach - North Bondi
51865,511714573,6,Beach,BRONTE BEACH,BRONTE BEACH,S,151.2684020462434,-33.90373275638351,118011339,Bondi - Tamarama - Bronte
51866,511714574,6,Beach,TAMARAMA BEACH,TAMARAMA BEACH,U,151.27062326732735,-33.900375754759594,118011339,Bondi - Tamarama - Bronte
51868,511714576,7,Headland,MACKENZIES POINT,MACKENZIES POINT,S,151.27576416310328,-33.898734897908476,118011339,Bondi - Tamarama - Bronte
51872,511714581,6,Bay / Inlet / Basin,TAMARAMA BAY,TAMARAMA BAY,S,151.27091528627,-33.900430999927245,118011339,Bondi - Tamarama - Bronte
53085,511748493,8,Suburb,BONDI BEACH,BONDI BEACH,U,151.26998727268258,-33.88995277063826,118011340,Bondi Beach - North Bondi
53093,511749312,8,Suburb,BONDI,BONDI,U,151.26219179235997,-33.89524266608929,118011339,Bondi - Tamarama - Bronte
53094,511749313,8,Suburb,TAMARAMA,TAMARAMA,U,151.27101862307038,-33.899358585317614,118011339,Bondi - Tamarama - Bronte
53095,511749314,8,Suburb,BRONTE,BRONTE,U,151.261051968605,-33.90484268527411,118011339,Bondi - Tamarama - Bronte
62976,512181845,6,Rock Awash,BOOT ROCK,BOOT ROCK,S,151.27496949723326,-33.89598700853787,118011340,Bondi Beach - North Bondi
67091,512721966,1,Psychiatric Hospital,THE SYDNEY CLINIC,THE SYDNEY CLINIC,U,151.26098236354355,-33.9014791310334,118011339,Bondi - Tamarama - Bronte
108325,515683055,1,Place Of Worship,ST LUKE'S ANGLICAN CHURCH,ST LUKE'S ANGLICAN CHURCH,U,151.25923816135025,-33.90801034915092,118021651,Coogee - Clovelly
108326,515683082,1,Place Of Worship,ST ANTHONY'S CATHOLIC CHURCH,ST ANTHONY'S CATHOLIC CHURCH,U,151.25835216107035,-33.9110828428504,118021651,Coogee - Clovelly
108583,515698190,1,Place Of Worship,LUGAR BRAE UNITING CHURCH,LUGAR BRAE UNITING CHURCH,U,151.25718660148078,-33.904181654055314,118011339,Bondi - Tamarama - Bronte
109257,515790451,1,Retirement Village,BONDI BEACH ASTRA RETIREMENT VILLAGE,BONDI BEACH ASTRA RETIREMENT VILLAGE,U,151.27278073587382,-33.893901968337325,118011340,Bondi Beach - North Bondi
109450,515792071,1,Nursing Home,UNITING ILLOWRA WAVERLEY,UNITING ILLOWRA WAVERLEY,U,151.2597298084069,-33.89758298190838,118011341,Bondi Junction - Waverly
115830,517014504,2,Primary School,ST ANTHONY'S CATHOLIC PRIMARY SCHOOL,ST ANTHONY'S CATHOLIC PRIMARY SCHOOL,U,151.25863331668629,-33.910756383841786,118021651,Coogee - Clovelly
115833,517014507,2,Primary School,CLOVELLY PUBLIC SCHOOL,CLOVELLY PUBLIC SCHOOL,U,151.26008063196642,-33.906958821086825,118011339,Bondi - Tamarama - Bronte
115835,517014509,2,Primary School,BONDI PUBLIC SCHOOL,BONDI PUBLIC SCHOOL,U,151.2646224026518,-33.892938214884616,118011339,Bondi - Tamarama - Bronte
115838,517014512,2,Primary School,BRONTE PUBLIC SCHOOL,BRONTE PUBLIC SCHOOL,U,151.26256256031544,-33.900718026084164,118011339,Bondi - Tamarama - Bronte
117955,517102982,1,Post Office,TAMARAMA POST OFFICE,TAMARAMA POST OFFICE,U,151.27113787981426,-33.89721530682393,118011339,Bondi - Tamarama - Bronte
120123,517208149,1,Retirement Village,LIFESTYLE MANOR BONDI,LIFESTYLE MANOR BONDI,U,151.2594072844738,-33.89131473114752,118011339,Bondi - Tamarama - Bronte
120692,517210923,1,Nursing Home,ADVANTAGED CARE AT BONDI WATERS,ADVANTAGED CARE AT BONDI WATERS,U,151.2683642002205,-33.88878539152495,118011340,Bondi Beach - North Bondi
128927,517417642,1,Community Medical Centre,CLOVELLY COMMUNITY CHILD HEALTH CENTRE,CLOVELLY COMMUNITY CHILD HEALTH CENTRE,U,151.25896394432155,-33.908910682595604,118021651,Coogee - Clovelly
130564,517467176,3,Club,WAVERLEY BOWLING AND RECREATION CLUB,WAVERLEY BOWLING AND RECREATION CLUB,U,151.2582387487657,-33.89770310865759,118011341,Bondi Junction - Waverly
132371,517571629,1,Community Medical Centre,BENEVOLENT SOCIETY EASTERN SYDNEY SCARBA SERVICES,BENEVOLENT SOCIETY EASTERN SYDNEY SCARBA SERVICES,U,151.2632327349584,-33.89172211704186,118011339,Bondi - Tamarama - Bronte
133869,517590210,3,Park,MEMORIAL GARDENS,MEMORIAL GARDENS,U,151.25728205017464,-33.89331956985159,118011341,Bondi Junction - Waverly
133870,517590211,3,Monument,ANZAC MEMORIAL,ANZAC MEMORIAL,U,151.25724635561684,-33.89342902013612,118011341,Bondi Junction - Waverly
133871,517590220,3,Park,HEWLETT ST RESERVE,HEWLETT ST RESERVE,U,151.2650266777673,-33.90099709269806,118011339,Bondi - Tamarama - Bronte
133876,517590234,3,Sports Court,BONDI SKATE PARK,BONDI SKATE PARK,S,151.27430894175038,-33.89222448510634,118011340,Bondi Beach - North Bondi
133877,517590242,3,Sports Centre,MARGARET WHITLAM RECREATION CENTRE,MARGARET WHITLAM RECREATION CENTRE,U,151.25792731363646,-33.89411925514535,118011341,Bondi Junction - Waverly
133892,517590391,3,Sports Court,,NETBALL COURTS,U,151.2574001507867,-33.89646901032567,118011341,Bondi Junction - Waverly
133937,517590475,1,Community Facility,THOMAS HOGAN RESERVE COMMUNITY HALL,THOMAS HOGAN RESERVE COMMUNITY HALL,U,151.26370063594888,-33.889194525506255,118011340,Bondi Beach - North Bondi
133944,517590487,1,Community Facility,SCHOOL OF ARTS COMMUNITY HALL,SCHOOL OF ARTS COMMUNITY HALL,U,151.2602117482686,-33.89317493637296,118011339,Bondi - Tamarama - Bronte
139099,518230034,1,Nursing Home,ST VINCENTS CARE SERVICES BRONTE,ST VINCENTS CARE SERVICES BRONTE,U,151.26046177097177,-33.90343835239745,118011339,Bondi - Tamarama - Bronte
149183,518402984,6,Beach,MCKENZIES BAY BEACH,MCKENZIES BAY BEACH,U,151.27208021883553,-33.89965326659376,118011339,Bondi - Tamarama - Bronte
161917,504395331,3,Swimming Pool Facility,BRONTE BATHS,BRONTE BATHS,S,151.26933998351979,-33.905248242532004,118011339,Bondi - Tamarama - Bronte
163765,500267571,3,Swimming Pool Facility,BONDI BATHS,BONDI BATHS,S,151.2746266165775,-33.89514112207785,118011340,Bondi Beach - North Bondi
163859,514181350,3,Swimming Pool Facility,BRONTE BOGEY HOLE,BRONTE BOGEY HOLE,S,151.26879856799974,-33.90461607556866,118011339,Bondi - Tamarama - Bronte
2300,500267160,3,Park,WILLIAMS PARK,WILLIAMS PARK,S,151.28474293306425,-33.8869172358232,118011340,Bondi Beach - North Bondi
2301,500267182,3,Park,BIDDIGAL RESERVE,BIDDIGAL RESERVE,U,151.28281434177737,-33.89110141545346,118011340,Bondi Beach - North Bondi
2311,500267548,5,Sewage Works,BONDI SEWERAGE TREATMENT PLANT,BONDI SEWERAGE TREATMENT PLANT,S,151.28422011806043,-33.88461912225494,118011340,Bondi Beach - North Bondi
2316,500267870,1,Community Facility,BONDI SURF BATHERS LSC,BONDI SURF BATHERS LSC,S,151.27794594185798,-33.89006222971752,118011340,Bondi Beach - North Bondi
2318,500267915,3,Sports Court,,BASKETBALL COURT,U,151.27616671794505,-33.88577598606908,118011340,Bondi Beach - North Bondi
2323,500269097,3,Park,BAMFORD RESERVE,BAMFORD RESERVE,U,151.28375921764098,-33.883864740446604,118011340,Bondi Beach - North Bondi
2324,500269108,3,Golf Course,BONDI GOLF COURSE,BONDI GOLF COURSE,S,151.28444030052646,-33.88806477758496,118011340,Bondi Beach - North Bondi
2325,500269119,3,Park,BONDI PARK,BONDI PARK,S,151.27840079212405,-33.88972811536887,118011340,Bondi Beach - North Bondi
27163,504395146,3,Club,EASTERN SUBURBS DISTRICT RUGBY UNION FOOTBALL CLUB,EASTERN SUBURBS DISTRICT RUGBY UNION FOOTBALL CLUB,U,151.26308003303825,-33.8785229252786,118011346,Rose Bay - Vaucluse - Watsons Bay
27223,504395258,3,Golf Course,ROYAL SYDNEY GOLF COURSE,ROYAL SYDNEY GOLF COURSE,U,151.26732951528632,-33.879465245692565,118011346,Rose Bay - Vaucluse - Watsons Bay
27225,504395260,3,Sports Field,WOOLLAHRA OVAL,WOOLLAHRA OVAL,U,151.26367816369375,-33.87830662496646,118011346,Rose Bay - Vaucluse - Watsons Bay
27230,504395266,3,Park,O'DONNELL STREET COMMUNITY RESERVE,O'DONNELL STREET COMMUNITY RESERVE,U,151.2797436683709,-33.884509797137596,118011340,Bondi Beach - North Bondi
27231,504395267,2,High School,REDDAM HOUSE BONDI CAMPUS,REDDAM HOUSE BONDI CAMPUS,U,151.27631010523407,-33.885011098757936,118011340,Bondi Beach - North Bondi
27232,504395269,1,Place Of Worship,SAINT ANNE'S CHURCH,SAINT ANNE'S CHURCH,U,151.27574732867487,-33.885197056475704,118011340,Bondi Beach - North Bondi
27234,504395271,3,Park,GILGANDRA RESERVE,GILGANDRA RESERVE,U,151.2720724555948,-33.8826778284933,118011340,Bondi Beach - North Bondi
27235,504395272,3,Club,BONDI BOWLING CLUB,BONDI BOWLING CLUB,U,151.2706976675958,-33.88465111480362,118011340,Bondi Beach - North Bondi
27236,504395273,3,Sports Field,,BOWLING GREENS,U,151.2706000324025,-33.884291945926655,118011340,Bondi Beach - North Bondi
27237,504395274,1,Place Of Worship,NORTH BONDI WESLEY UNITING CHURCH,NORTH BONDI WESLEY UNITING CHURCH,U,151.27199527593885,-33.88444007562302,118011340,Bondi Beach - North Bondi
27238,504395275,1,Place Of Worship,BONDI MIZRACHI SYNAGOGUE,BONDI MIZRACHI SYNAGOGUE,U,151.26921877294015,-33.88404877960546,118011340,Bondi Beach - North Bondi
27239,504395276,3,Park,BARRACLUFF PARK,BARRACLUFF PARK,U,151.26967021679462,-33.883853069399024,118011340,Bondi Beach - North Bondi
27240,504395279,3,Park,WAIROA RESERVE,WAIROA RESERVE,U,151.27925478183707,-33.88664923077461,118011340,Bondi Beach - North Bondi
27241,504395280,1,Community Medical Centre,BONDI BEACH EARLY CHILDHOOD HEALTH CENTRE,BONDI BEACH EARLY CHILDHOOD HEALTH CENTRE,U,151.27902010505392,-33.887093601592966,118011340,Bondi Beach - North Bondi
27242,504395281,1,Ambulance Station,BONDI AMBULANCE STATION,BONDI AMBULANCE STATION,U,151.27873600026888,-33.88745500255353,118011340,Bondi Beach - North Bondi
27243,504395282,5,Filtration Plant,,Filtration Plant,U,151.28363676019978,-33.88538656425865,118011340,Bondi Beach - North Bondi
27244,504395288,1,Place Of Worship,ST ANDREW'S ANGLICAN CHURCH,ST ANDREW'S ANGLICAN CHURCH,U,151.2787151503712,-33.88801711581054,118011340,Bondi Beach - North Bondi
27245,504395290,3,Club,NORTH BONDI RSL CLUB,NORTH BONDI RSL CLUB,U,151.28266308434814,-33.89038852785576,118011340,Bondi Beach - North Bondi
27246,504395292,1,Community Facility,NORTH BONDI SLSC,NORTH BONDI SLSC,U,151.28106859807505,-33.8900391652254,118011340,Bondi Beach - North Bondi
27248,504395294,3,Sports Court,,TENNIS COURTS,U,151.2678008146035,-33.88802757673486,118011340,Bondi Beach - North Bondi
27249,504395295,1,Community Facility,MACCABI TENNIS CLUB,MACCABI TENNIS CLUB,U,151.26768088502158,-33.8876673773187,118011340,Bondi Beach - North Bondi
27250,504395314,3,Park,,Park,U,151.28350087564,-33.890923731383744,118011340,Bondi Beach - North Bondi
27251,504395315,3,Park,RAY O'KEEFE RESERVE,RAY O'KEEFE RESERVE,S,151.28319129553185,-33.8930087974179,118011340,Bondi Beach - North Bondi
27294,504395402,3,Park,GARARRA RESERVE,GARARRA RESERVE,S,151.28354879716713,-33.893455965669425,118011340,Bondi Beach - North Bondi
27295,504395403,2,High School,WAYS SECONDARY,WAYS SECONDARY,U,151.27917970873048,-33.886912556385454,118011340,Bondi Beach - North Bondi
30375,504650841,3,Park,WOOLLAHRA PARK,WOOLLAHRA PARK,U,151.2625498850867,-33.87804376502503,118011346,Rose Bay - Vaucluse - Watsons Bay
51912,511715340,6,Beach,BONDI BEACH,BONDI BEACH,S,151.27774713031258,-33.89129183701112,118011340,Bondi Beach - North Bondi
51913,511715342,7,Headland,BEN BUCKLER,BEN BUCKLER,S,151.2837794845321,-33.89324246145602,118011340,Bondi Beach - North Bondi
51914,511715343,7,Gap / Pass / Saddle,MERIVERIE PASS,MERIVERIE PASS,S,151.28536382343574,-33.88803284746529,118011340,Bondi Beach - North Bondi
53084,511748492,8,Suburb,NORTH BONDI,NORTH BONDI,U,151.27663926232722,-33.88207775321481,118011340,Bondi Beach - North Bondi
53125,511751583,8,Urban Place,BEN BUCKLER,BEN BUCKLER,U,151.28375956708567,-33.89028449190881,118011340,Bondi Beach - North Bondi
62977,512181850,6,Rock Awash,MERMAID ROCKS,MERMAID ROCKS,S,151.2829508192252,-33.89320405114683,118011340,Bondi Beach - North Bondi
106768,515398674,3,Park,SAM FISZMAN PARK,SAM FISZMAN PARK,U,151.28368478952473,-33.893110727244185,118011340,Bondi Beach - North Bondi
115600,517014267,2,Primary School,BONDI BEACH PUBLIC SCHOOL,BONDI BEACH PUBLIC SCHOOL,U,151.27694928171158,-33.88831761556734,118011340,Bondi Beach - North Bondi
115832,517014506,2,Primary School,GALILEE CATHOLIC PRIMARY SCHOOL,GALILEE CATHOLIC PRIMARY SCHOOL,U,151.27527255197919,-33.88521815799276,118011340,Bondi Beach - North Bondi
115961,517014638,2,Special School,WAIROA SCHOOL,WAIROA SCHOOL,U,151.27818817526932,-33.886448984284975,118011340,Bondi Beach - North Bondi
130141,517458163,3,Club,BONDI GOLF AND DIGGERS CLUB,BONDI GOLF AND DIGGERS CLUB,U,151.2835759936624,-33.88811704637017,118011340,Bondi Beach - North Bondi
130948,517474510,3,Club,WOOLLAHRA GOLF CLUB,WOOLLAHRA GOLF CLUB,U,151.26319903016895,-33.8792977540147,118011346,Rose Bay - Vaucluse - Watsons Bay
133940,517590478,1,Community Facility,WAIROA COMMUNITY CENTRE HALL,WAIROA COMMUNITY CENTRE HALL,U,151.27902010505392,-33.887093601592966,118011340,Bondi Beach - North Bondi
136896,517686608,1,Community Facility,BONDI PAVILION,BONDI PAVILION,S,151.27691979900388,-33.890286284566024,118011340,Bondi Beach - North Bondi
150336,518409811,3,Park,WARREN ZINES RESERVE,WARREN ZINES RESERVE,U,151.28036327594822,-33.88105884415093,118011340,Bondi Beach - North Bondi
160429,504395270,1,Fire Station,BONDI FIRE STATION,BONDI FIRE STATION,U,151.26989970311206,-33.88231076258231,118011340,Bondi Beach - North Bondi
162392,504395264,2,High School,ROSE BAY SECONDARY COLLEGE,ROSE BAY SECONDARY COLLEGE,U,151.2768036531259,-33.878373970893804,118011344,Dover Heights
163831,504465718,3,Swimming Pool Facility,WALLY WEEKES BATHING POOL,WALLY WEEKES BATHING POOL,S,151.28230455144688,-33.89153718097084,118011340,Bondi Beach - North Bondi
163858,514181349,3,Swimming Pool Facility,NORTH BONDI CHILDRENS POOL,NORTH BONDI CHILDRENS POOL,U,151.28234818801016,-33.891205173007435,118011340,Bondi Beach - North Bondi
2501,500294605,1,Community Facility,EASTERN SUBURBS DISABLED COMMUNITY SERVICE,EASTERN SUBURBS DISABLED COMMUNITY SERVICE,U,151.2428538167309,-33.89895193380344,118011341,Bondi Junction - Waverly
2502,500294616,3,Park,QUEENS PARK,QUEENS PARK,U,151.2482628614158,-33.901336693767924,118011341,Bondi Junction - Waverly
2583,500300582,3,Park,RANDWICK PEACE PARK,RANDWICK PEACE PARK,U,151.24390816039676,-33.90597123201841,118021569,Randwick - North
2589,500300693,3,Park,CADIGAL RESERVE,CADIGAL RESERVE,U,151.24249159085556,-33.892006140567105,118011341,Bondi Junction - Waverly
2590,500300704,2,Combined Primary-Secondary School,MORIAH COLLEGE,MORIAH COLLEGE,U,151.24389122715365,-33.89971148798002,118011341,Bondi Junction - Waverly
25910,504377180,6,Manmade Waterbody,MODEL YACHT POND,MODEL YACHT POND,U,151.24154833824767,-33.89887748864494,118011342,Centennial Park
25916,504377187,6,Manmade Waterbody,MUSGRAVE POND,MUSGRAVE POND,U,151.2421596193406,-33.90187810874751,118011341,Bondi Junction - Waverly
26803,504379239,3,Park,CLEMENTSON PARK,CLEMENTSON PARK,U,151.24633010194609,-33.89347859078382,118011341,Bondi Junction - Waverly
26804,504379240,1,Shopping Centre,EASTGATE SHOPPING CENTRE,EASTGATE SHOPPING CENTRE,U,151.24804674921637,-33.89287650731729,118011341,Bondi Junction - Waverly
26805,504379241,1,Community Medical Centre,WAVERLEY EARLY CHILDHOOD HEALTH CENTRE,WAVERLEY EARLY CHILDHOOD HEALTH CENTRE,U,151.24661896600546,-33.893872970125656,118011341,Bondi Junction - Waverly
26806,504379242,1,Child Care Centre,THE GRACE CHILD CARE CENTRE,THE GRACE CHILD CARE CENTRE,U,151.24636954337691,-33.89389249390408,118011341,Bondi Junction - Waverly
26807,504379243,1,Child Care Centre,WAVERLEY CHILD CARE CENTRE,WAVERLEY CHILD CARE CENTRE,U,151.24618576423947,-33.893859111916434,118011341,Bondi Junction - Waverly
26808,504379244,1,Library,BONDI JUNCTION CENTRAL LIBRARY,BONDI JUNCTION CENTRAL LIBRARY,U,151.24509637100618,-33.892815355233616,118011341,Bondi Junction - Waverly
26809,504379245,1,Post Office,BONDI JUNCTION POST OFFICE,BONDI JUNCTION POST OFFICE,U,151.24825806531052,-33.89282800338121,118011341,Bondi Junction - Waverly
26810,504379246,1,Shopping Centre,BONDI JUNCTION PLAZA,BONDI JUNCTION PLAZA,U,151.25031629427264,-33.8914791754727,118011341,Bondi Junction - Waverly
26811,504379247,3,Club,EASTERN SUBURBS LEAGUES CLUB,EASTERN SUBURBS LEAGUES CLUB,U,151.2489662198254,-33.89277923022861,118011341,Bondi Junction - Waverly
26812,504379249,1,Place Of Worship,,SALVATION ARMY CHURCH,U,151.24903979633874,-33.89489496229697,118011341,Bondi Junction - Waverly
26813,504379252,1,Nursing Home,THE LITTLE SISTERS OF THE POOR MOUNT ST JOSEPH'S HOME,THE LITTLE SISTERS OF THE POOR MOUNT ST JOSEPH'S HOME,U,151.24493193619008,-33.90622232225986,118021569,Randwick - North
26814,504379253,1,Place Of Worship,ST MARGARET MARY'S CHURCH,ST MARGARET MARY'S CHURCH,U,151.24471327816508,-33.90523624859766,118021569,Randwick - North
27168,504395157,1,Place Of Worship,JUBILEE CHURCH,JUBILEE CHURCH,U,151.254433826582,-33.90010729244029,118011341,Bondi Junction - Waverly
27169,504395158,1,Place Of Worship,MARY IMMACULATE CHURCH,MARY IMMACULATE CHURCH,U,151.25498015409005,-33.90079920394695,118011341,Bondi Junction - Waverly
27170,504395160,1,Court House,WAVERLEY COURT HOUSE,WAVERLEY COURT HOUSE,U,151.25183679979054,-33.898112322890064,118011341,Bondi Junction - Waverly
27171,504395161,1,Police Station,WAVERLEY POLICE STATION,WAVERLEY POLICE STATION,U,151.25184799639223,-33.897903005122416,118011341,Bondi Junction - Waverly
27179,504395183,3,Park,WAVERLEY CRESCENT RESERVE,WAVERLEY CRESCENT RESERVE,U,151.25384029440244,-33.89189728202067,118011341,Bondi Junction - Waverly
27266,504395347,3,Club,BRONTE BOWLING CLUB,BRONTE BOWLING CLUB,U,151.25544366321705,-33.90616165392229,118011341,Bondi Junction - Waverly
27267,504395348,3,Park,VARNA PARK,VARNA PARK,U,151.2564161479026,-33.90653652753631,118011341,Bondi Junction - Waverly
27268,504395349,3,Sports Field,,BOWLING GREENS,U,151.25535004349308,-33.905876178220424,118011341,Bondi Junction - Waverly
27271,504395356,2,High School,WAVERLEY COLLEGE,WAVERLEY COLLEGE,U,151.2562200160317,-33.89738286995031,118011341,Bondi Junction - Waverly
27276,504395364,1,Community Medical Centre,MENTAL HEALTH SERVICES BONDI JUNCTION,MENTAL HEALTH SERVICES BONDI JUNCTION,U,151.25385919944753,-33.8934903335901,118011341,Bondi Junction - Waverly
27277,504395365,1,Place Of Worship,HOLY CROSS CHURCH,HOLY CROSS CHURCH,U,151.2517031026285,-33.89018482115436,118011347,Woollahra
27279,504395369,2,Combined Primary-Secondary School,REDDAM HOUSE,REDDAM HOUSE,U,151.25260045042702,-33.88980906954323,118011347,Woollahra
27292,504395399,3,Park,EORA PARK,EORA PARK,U,151.252322038266,-33.892408264630184,118011341,Bondi Junction - Waverly
29099,504594058,3,Park,OXFORD MALL,OXFORD MALL,U,151.24919430836428,-33.89152221130866,118011341,Bondi Junction - Waverly
53092,511749311,8,Suburb,BONDI JUNCTION,BONDI JUNCTION,U,151.24944489700601,-33.89402669356808,118011341,Bondi Junction - Waverly
53096,511749315,8,Suburb,WAVERLEY,WAVERLEY,U,151.25486516434376,-33.90275103873155,118011341,Bondi Junction - Waverly
53097,511749316,8,Suburb,QUEENS PARK,QUEENS PARK,U,151.24505129174864,-33.90129043890411,118011341,Bondi Junction - Waverly
53141,511751708,8,Urban Place,MILL HILL,MILL HILL,U,151.24778436389826,-33.897534989171675,118011341,Bondi Junction - Waverly
53901,511797488,8,Urban Place,CHARING CROSS,CHARING CROSS,U,151.25390603670814,-33.89896066503529,118011341,Bondi Junction - Waverly
70412,512862323,2,High School,ST CLARE'S COLLEGE,ST CLARE'S COLLEGE,U,151.2536448793871,-33.89849862580756,118011341,Bondi Junction - Waverly
70590,512862566,1,Community Facility,MILL HILL COMMUNITY CENTRE,MILL HILL COMMUNITY CENTRE,U,151.24618129062938,-33.89247648976665,118011341,Bondi Junction - Waverly
70593,512862569,1,Community Facility,RANDWICK LITERARY INSTITUTE,RANDWICK LITERARY INSTITUTE,U,151.24652299808534,-33.90640400418745,118021569,Randwick - North
108271,515681078,3,Club,EASTERN SUBURBS LEGION CLUB,EASTERN SUBURBS LEGION CLUB,U,151.2538895157918,-33.901179016898126,118011341,Bondi Junction - Waverly
108582,515698161,1,Place Of Worship,SAINT MARY'S ANGLICAN CHURCH,SAINT MARY'S ANGLICAN CHURCH,U,151.25536079183547,-33.89617222203371,118011341,Bondi Junction - Waverly
108612,515698736,1,Place Of Worship,,SYNAGOGUE,U,151.25399616018902,-33.888817599512954,118011347,Woollahra
108614,515698745,1,Place Of Worship,EMANUEL SYNAGOGUE,EMANUEL SYNAGOGUE,U,151.2409732457859,-33.88881629973954,118011347,Woollahra
108615,515698747,1,Place Of Worship,,SEVENTH DAY ADVENTIST CHURCH,U,151.2453950329904,-33.88925647585498,118011347,Woollahra
109293,515790754,1,Nursing Home,CHARINGFIELD,CHARINGFIELD,U,151.25547790609733,-33.90133735660725,118011341,Bondi Junction - Waverly
109318,515790934,1,Nursing Home,UNITING EDINA WAVERLEY,UNITING EDINA WAVERLEY,U,151.25181612955583,-33.89669299316615,118011341,Bondi Junction - Waverly
109337,515791151,1,Retirement Village,QUEENS PARK ASSISTED LIVING,QUEENS PARK ASSISTED LIVING,U,151.25342522602875,-33.90329050919377,118011341,Bondi Junction - Waverly
109349,515791210,1,Nursing Home,SUMMITCARE WAVERLEY,SUMMITCARE WAVERLEY,U,151.25621219979038,-33.90350542051307,118011341,Bondi Junction - Waverly
109508,515793718,1,Nursing Home,WOOLLAHRA MONTEFIORE HOME,WOOLLAHRA MONTEFIORE HOME,U,151.24324769384705,-33.888921231583005,118011347,Woollahra
113731,516877520,1,General Hospital,BONDI JUNCTION PRIVATE HOSPITAL,BONDI JUNCTION PRIVATE HOSPITAL,U,151.2456711059385,-33.89248585697953,118011341,Bondi Junction - Waverly
115834,517014508,2,Primary School,HOLY CROSS PRIMARY SCHOOL,HOLY CROSS PRIMARY SCHOOL,U,151.25302928727908,-33.88900690089455,118011347,Woollahra
115925,517014602,2,Combined Primary-Secondary School,ST CATHERINE'S SCHOOL,ST CATHERINE'S SCHOOL,U,151.2550199629318,-33.904368768860294,118011341,Bondi Junction - Waverly
115926,517014603,2,Combined Primary-Secondary School,EMANUEL SCHOOL,EMANUEL SCHOOL,U,151.24371934260884,-33.90687869211707,118021569,Randwick - North
116673,517015402,2,Primary School,ST MARGARET MARY'S CATHOLIC PRIMARY SCHOOL,ST MARGARET MARY'S CATHOLIC PRIMARY SCHOOL,U,151.24509142308565,-33.9055197164008,118021569,Randwick - North
117063,517015827,2,Primary School,WAVERLEY PUBLIC SCHOOL,WAVERLEY PUBLIC SCHOOL,U,151.25168944104965,-33.89847443173657,118011341,Bondi Junction - Waverly
117965,517108457,1,Post Office,WAVERLEY POST OFFICE,WAVERLEY POST OFFICE,U,151.25398588705548,-33.900681883549744,118011341,Bondi Junction - Waverly
120124,517208170,1,Retirement Village,MAYFLOWER,MAYFLOWER,U,151.2540438481542,-33.893160100473644,118011341,Bondi Junction - Waverly
120126,517208177,1,Retirement Village,CONRAD BEARD COURT,CONRAD BEARD COURT,U,151.25253070163512,-33.89697776068904,118011341,Bondi Junction - Waverly
